00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
38-11	UP4P0312	Fox	9a1637554064
38-12	TP4P0247	Panther	16d7166f4d0a
38-13	UP4P0316	Gibbon	e0b0716d897e
38-14	TP5Y0139	Strausberg	02e07c2ba458
38-15	UP5P0796	Anesthesiology	8ef624febccd
38-16	TP4P0173	Beet	12a8d213e2ac
38-17	UP5P0688	Doxophobia	69a843a5e181
38-18	TP5Y0141	Honow	fb70f515f92f
38-19	UP5P0732	Algology	8d136534d088
38-20	TP5P0673	Optophobia	aa4e2dc9524e
38-21	UP5P0744	Arachnology	f6c43323753e
38-22	TP5P0519	Willy_Willy	53bcba09c8eb
38-23	UP5Y0140	Maserati_Bora	1c871a91050d
38-24	TP5P0715	Pediophobia	487ed8e13933
38-25	UP5P0718	Kenophobia	3da8fa4fcd30
38-26	TP5Y0155	Heerstrassa	ea744ec6f054
38-27	UP5P0712	Electrophobia	b24a966c9187
38-28	TP5P0589	Zoophobia	5be2301843ac
38-29	UP5P0636	Levophobia	e6aafa35cc0f
38-30	TP5Y0217	Dacia_Logan	5cbb63c19637
38-31	UP5P0552	Backdraft	6807dbacd9a9
38-32	TP5P0599	Plutophobia	89cd6716bb1e
38-33	UP5P0572	Logophobia	20dcbff86b0d
38-34	TP5P0609	Sand_Man	be348fbee90a
38-35	UP5P0768	Cetology	3374175d23d0
38-36	TP4H0052	Vaxholm	f63134b7d37a
38-37	UP5P0838	Gynecology	df5f9a0010ca
38-38	TP5P0757	Xylology	44156dd55305
38-39	UP5Y0070	DeSoto_Sportsman	646c718ca2dc
38-40	TP5Y0191	Bristol_409	5c65ca7400c2
38-41	UP5P1002	Butyrophilia	3539047b9cf7
38-42	TP5P0841	Taphophilia	0bb444a67aa1
38-43	UP5P0540	Coromell	0f945673f4ef
38-44	TP5P0815	Traumatophilia	557dbb53c5de
38-45	UP4Y0020	Pfungstadter_Edelpils	ad45a3599996
38-46	TP4H0055	Birka	bd74d1a6c543
38-47	UP5P0548	Leveche	47a5015a6e2b
38-48	TP4Y0019	Ratskrone	19bbdf2b10b3
38-49	UP5P0714	Graphophobia	01c997d687a6
38-50	TP4P0197	Habanero_pepper	f648b8647840
38-51	UP4P0130	Lime	db092d7fb53e
38-52	TP5Y0187	Bentley_Amage	0a796fa4b49b
38-53	UP4P0208	Phosphorus	e6b5b3989f28
38-54	TP4P0119	Fettuccine	809525499e3b
38-55	UP4P0154	Chlorine	0251e7f5c6d8
38-56	TP4P0113	Banana	51c2b0b2f2d6
38-57	UP4P0132	Fugu	bff0d2d36b56
38-58	TP4P0095	Pineapple	2a4931d33ab6
38-59	UP4P0094	Blackberry	dd7b82733671
38-60	TP4P0089	Pomegranate	a2aad9826a9d
38-61	AP5P0407	Sasquatch	062535590abe
38-62	AP5P0449	Oceanology	50e4a768abdd
38-63	AP5P0442	Ornithology	db0410318240
38-64	AP5P0430	Ophthalmology	331c8d07f271
39-01	UP5P0662	Frigophobia	eeb05853ee18
39-02	TP5P0561	Tamawo	9c47976a9376
39-03	UP5P0630	Dinophobia	ba3dbfcffc51
39-04	TP5P0707	Trichopathophobia	3f48845900d0
39-05	UP5H0124	Hallonbergen	19a31737fcbc
39-06	TP5H0163	Visinge	9bc72c6ea776
39-07	UP5P0888	Hippophilia	8b56bf63b908
39-08	TP5P0527	Shamal	7b492c28a830
39-09	UP5P0872	Ergophilia	a767a48cfe8a
39-10	TP5P0919	Shinbei_Inue	7829d43058f7
39-11	UP5P0916	Genpachi_Inukai	ef089997c7a2
39-12	TP5P0745	Peristerophilia	42988ae64c8c
39-13	UP5P0590	Ataxophobia	c4b2d9e19419
39-14	TP5P0573	Papyrophobia	d815cc08657f
39-15	UP5P0702	Globophobia	f7178188b3fd
39-16	TP5P0917	Kobungo_Inuta	f4c0db8e6918
39-17	UP5P1024	Kansas	e34871ac0864
39-18	TP5P0821	Threpterophilia	9f6bbd834141
39-19	UP5Y0112	Jeep_Cherokee	9f78a4f96b83
39-20	TP5Y0101	Zoologischer_Garten	c752d559fa24
39-21	UP5H0172	Aspudden	bd48e39cc714
39-22	TP5H0167	Liljeholmen	18bdaac228fe
39-23	UP5P0884	Eremophilia	e326ec8bc13f
39-24	TP5P0923	Russophilia	cfb93ce56824
39-25	UP5P0840	Androphilia	0a08de118fec
39-26	TP5P0879	Tobaccophilia	965883cfbedb
39-27	UP5P0542	Haru_Ichiban	087c5871c6a5
39-28	TP5P0795	Ornithophilia	78f7ff2c2829
39-29	UP5P0564	Alp	64581493a40b
39-30	TP5P0857	Rhizophilia	03e493c9dd49
39-31	UP5P0682	Aeronausiphobia	0b1d26a591b0
39-32	TP5P0703	Vestiphobia	c1feb3fc3cd2
39-33	UP5P0992	Audiophilia	93fdad986c6f
39-34	TP5P0807	Philophilia	a18ef88fb947
39-35	UP5Y0132	Lotus_Elite_II	7f09ccda3dbb
39-36	TP5Y0137	Bernau	bb7c26343f8c
39-37	UP5H0178	Sockenplan	6b05b47548df
39-38	TP5H0179	Storamossen	558f44d8743f
39-39	UP5P0892	Francophilia	1ea82d9a5af0
39-40	TP5P0779	Nemophilia	d8db4a3f3e95
39-41	UP5P0984	Chasmophilia	2b03e866d847
39-42	TP5P0557	Unicorn	770a69b0b93e
39-43	UP5P0570	Hippogriff	aad2afa683f5
39-44	TP5P0777	Osmophilia	bfb81304db28
39-45	UP5P0600	Hemaphobia	d37f9d3eed13
39-46	TP5P0643	Spacephobia	2c83fbce8855
39-47	UP5P0720	Clinophobia	dbff766ae300
39-48	TP5P0705	Taeniophobia	e98b99120fe0
39-49	UP5P0904	Abrakophilia	362505f566dd
39-50	TP5P0799	Petrophilia	b5dc99a3243c
39-51	UP5Y0142	Maybach_57	79cad1c8e277
39-52	TP5H0115	Alvik	fb2a9e5fd451
39-53	UP5P1004	Anthophilia	846519f9a592
39-54	TP5P0727	Tropophilia	558798a250a5
39-55	UP5P0854	Astrophilia	309126999fc9
39-56	TP5P0915	Shino_Inuzuka	025ae17702f7
39-57	UP5P0914	Dosetsu_Inuyama	1ddd6329fc1d
39-58	TP5P0789	Mysophilia	a432d3e2f5f8
39-59	UP5P0692	Dikephobia	06333b5a7061
39-60	TP5P0685	Stenophobia	5c6979e5c8e3
39-61	AP4P0073	Hydrogen	9ed5742a784d
39-62	AP4P0075	Unagi	0b5dc6a92170
39-63	AP4P0069	Tsubugai	d4b05c67ce19
39-64	AP4P0068	Tofe	2c5bf45ca479
40-01	UP5P0866	Bibliophilia	94e7b98b1317
40-02	TP5P0543	Tornado	53764a27a084
40-03	UP5P0958	Iowa	d0995f822b43
40-04	TP5P0767	Toxicology	882f452eba8f
40-05	UP5Y0186	Porsche_911	ccbbe3ebe148
40-06	TP5P1015	Topeka	488e1c575627
40-07	UP5H0186	Stureby	5705aa68d315
40-08	TP5H0113	Blackeberg	e6e66ab4c092
40-09	UP5P1006	Insulaphilia	d6531d7f2215
40-10	TP5P0625	Des_Moines	59e83d35b0d8
40-11	UP5P1012	New_Jersey	d5edcc4d9a95
40-12	TP5P0871	Helena	3bae5c0c88b3
40-13	UP5Y0200	Saturn_LS2	efae979ed29f
40-14	TP5Y0159	Wartenberg	e2e44c2f3563
40-15	UP5H0202	Slussen	87a7b9eb12aa
40-16	TP5H0183	Tullinge	98a02fd6dbbb
40-17	UP5P0880	Andromimetophilia	8721271a6d2c
40-18	TP5P0729	Nyctophilia	d8c7e7ed5e35
40-19	UP5P0504	Fairy	ab90f2029182
40-20	TP5Y0167	AC_Cobra	de45a0f45ad5
40-21	UP5Y0166	Oldsmobile_88	a3894c99d671
40-22	TP5P0897	Columbia	91134436a618
40-23	UP5H0220	Brommaplan	449c530e37ea
40-24	TP5H0187	Torsvik	80134b136c39
40-25	UP4P0294	Cow	57b56c6739a6
40-26	TP5P0739	Xenophilia	3e1e4659ea06
40-27	UP5Y0180	Pierce_Arrow_80	c6224ecabf6f
40-28	TP5Y0097	Bellevue	5695354a2bf8
40-29	UP4P0324	Gorilla	b804e4971533
40-30	TP4P0245	Pangolin	2706114d34df
40-31	UP5Y0184	Pontiac_Firebird	a40f157a0658
40-32	TP5Y0117	Potsdam_Hauptbahnhof	8d84a21acb2d
40-33	UP4H0022	Leif_Eriksson	e3745bed763b
40-34	TP4P0171	Carrot	b0e8db8dd9c1
40-35	UP4P0334	Hyena	809f6c28f3b1
40-36	TP4P0279	Sheep	fe357b9c5c46
40-37	UP5Y0198	Saleen_S7	20545e5b61fa
40-38	TP5Y0181	Audi_A8	a1dae6880236
40-39	UP4P0352	Lion	c9faf2749bfe
40-40	TP4P0239	Otter	470f8cb0f6f5
40-41	UP5P0510	White_Squall	7260d301180b
40-42	TP4Y0021	Aecht_Patzenhofer	84976bf645a2
40-43	UP4H0029	Ansgar	06a01c105181
40-44	TP4P0131	Stout	7ce10459887e
40-45	UP5Y0202	Reliant_Scimitar	62cf42cb247f
40-46	TP5P0711	Urophobia	548e79c3c0a7
40-47	UP5P0858	Autophilia	7d3fc25a17e6
40-48	TP4Y0023	Bavaria	83aa7b9aa2c2
40-49	UP4P0194	Lager	365914f33943
40-50	TP4P0133	Amber	21977f66dc55
40-51	UP4P0086	Juneberry	ce9692f580c9
40-52	TP5Y0171	Alfa_Romeo_Spider	0a9dc8de00c3
40-53	UP4P0088	Manganese	0c5bf2c7cad0
40-54	TP4P0251	Pika	74578c1716d2
40-55	UP4P0134	Boron	17b7f9bc90f2
40-56	TP4P0085	Watermelon	d8010bc749c2
40-57	UP4P0140	Tortellini	d54044599535
40-58	TP4P0111	Cannelloni	3dac398e0d9d
40-59	UP5Y0122	Trabant	417caa4c4351
40-60	TP4P0115	Cavatelli	9de6c286404c
40-61	AP5P0406	Rusalka	0b626c0df7e0
40-62	AP5P0417	Microbiology	c5174b1c716a
40-63	AP5P0439	Pharmacology	487c0470238c
40-64	AP5P0403	Ostria	45a550713f62
47-61	AP5P0455	Juneau	55eb29858daf
47-62	AP4P0074	Otoro	e547e215b150
47-63	AP5P0445	Omphalology	4f6b5706dbc2
47-64	AP5P0447	Nosology	2a687c33b86c
48-61	AP5P0420	Zelophobia	a7276f7648d0
48-62	AP5P0450	Palaeophilia	bb03598dcaa6
48-63	AP5P0431	Numerology	f042e15f70f5
48-64	AP5P0441	Thermophilia	6b209b58166b
49-01	UP4Y0030	Ceres	754dad1d3800
49-02	TP5Y0161	Marzahn	60cad4124a82
49-03	UP5P0976	Delaware	7a06273239a8
49-04	TP5P0813	Serology	b9293b8feb2b
49-05	UP5P0974	Oregon	e6e30655009b
49-06	TP4P0233	Orangutan	f7809fdb01c0
49-07	UP5Y0208	Smart_City_Cabrio	8074af27dcc2
49-08	TP5P0817	Sociology	8bbbb008b86f
49-09	UP5P0828	Genealogy	aefac00535e2
49-10	TP5P0959	Annapolis	7af1655a84df
49-11	UP5P0964	New_Hampshire	415172971870
49-12	TP5P1009	Jackson	3e3eef493ec4
49-13	UP5P0924	Rhode_Island	967954ab18c2
49-14	TP5P0771	Topology	076f792e7a20
49-15	UP5Y0148	Mercedes_Benz	cf5b3117f546
49-16	TP5P1013	Raleigh	986a0a2a89af
49-17	UP5P0836	Biometeorology	bd44500d0f35
49-18	TP5P0775	Planktology	04fd8b75603a
49-19	UP5P0824	Kinesiology	d28d98adfa7a
49-20	TP5P0951	Salem	ed68d047c751
49-21	UP5Y0194	Rover_TD_Sedan	233e3b155870
49-22	TP5P0939	Albany	3e330666139d
49-23	UP5P0804	Biology	426a184104eb
49-24	TP5P0849	Augusta	07c04b2b559b
49-25	UP5P0944	Louisiana	c861a5ae476a
49-26	TP5P0765	Radiology	643f1bf2fdb9
49-27	UP5Y0192	Rolls_Royce_Phantom	bed154861710
49-28	TP5Y0149	Wilmersdorfer	94b8c431cd42
49-29	UP5P0808	Cryptology	a997c4bd189f
49-30	TP4P0211	Corn	cfa965b53870
49-31	UP5Y0158	Morris_Minor	4c0fc79aaaf5
49-32	TP5P0869	Montgomery	6cc2299f2f1d
49-33	UP5P0830	North_Carolina	d05c2f9c3902
49-34	TP4P0227	Narwhal	29fa380fcaf1
49-35	UP5Y0176	Panoz_Esperante	40ea374af694
49-36	TP5P0785	Selenology	4cdc8a709f6c
49-37	UP5Y0104	Invicta_S1	711210fa2ccd
49-38	TP5P0501	Sharki	6d7d54d2f112
49-39	UP5P0778	Bacteriology	d7bc23a055e1
49-40	TP5Y0203	Chevron_B6	ff2611fbf505
49-41	UP4P0318	Giraffe	006714f851d4
49-42	TP5P0753	Technology	88776d7e42bf
49-43	UP5P0926	Illinois	543c1369639d
49-44	TP5Y0147	Savignyplatz	179cf7623823
49-45	UP5Y0168	Ol_Yaller_V3	345b9e5c386b
49-46	TP5P0759	Zymologyish	3402e6adc65d
49-47	UP5P0758	Cryptozoology	195754800df5
49-48	TP5Y0085	Ostkreuz	890d01f85a74
49-49	UP5P0756	Ecclesiology	1e40b6a84e97
49-50	TP5Y0193	Bugatti_EB	e8341d6ea7d0
49-51	UP4P0116	Orzo	77cc539b3297
49-52	TP4P0193	Soybean	b0d8cfe481d8
49-53	UP4P0136	Ravioli	87bc3bf8e427
49-54	TP4P0099	Bavette	a8d9dca9bcba
49-55	UP4P0106	Fusilli	896453b19189
49-56	TP4P0107	Vermicelli	08b13a790a37
49-57	UP4P0228	Popcorn	f9f4ec7bad4b
49-58	TP5Y0189	BMW_M3	732e937e6832
49-59	UP4P0098	Capellini	1a52e915b7ff
49-60	TP4P0139	Eliche	7b909b9dcd76
49-61	AP5P0423	Octophobia	3acacc26bae0
49-62	AP5P0409	Puck	4c1c9706ee12
49-63	AP5P0419	Sitiophobia	3a5b93fe764e
49-64	AP5P0443	Palynology	249894b45b2c
50-01	UP4P0290	Chimpanzee	bb080ba774fc
50-02	TP4P0237	Orynx	ef4b6d635014
50-03	UP5P0562	Genie	1bcbfdd5be25
50-04	TP4P0257	Porpoise	1aa46e241d8b
50-05	UP5H0170        Gamla_stan      0d7bbbb87f61
50-06	TP5Y0091	Jannowitzbrucke	b7a2a1305ed0
50-07	UP5Y0164	NSU_Prince	227df6c98447
50-08	TP5P0811	Physiology	1848d3974b7c
50-09	UP5Y0090	Ford_Mustang	196d40026bc9
50-10	TP5Y0183	Austin_Healey_3000	07350f467e84
50-11	UP5P0776	Horology	cb8f98cd5f48
50-12	TP5Y0157	Olympiastadion	175121173dda
50-13	UP5Y0220	Sunbeam_Tiger	a8482f5b5c02
50-14	TP5P0801	Psychobiology	91c65f3c9956
50-15	UP5P0576	Dragon	5b5cd7a4fb85
50-16	TP5Y0205	Chrysler_Le_Baron	444cbb6e075c
50-17	UP5H0180	Stadshagen	69a14291939a
50-18	TP5P0769	Phenomenology	4baa79b64278
50-19	UP5P0786	Japanology	9d5d0842334e
50-20	TP5P0665	Rhytiphobia	4e41e17f6b7e
50-21	UP5Y0222	Yugo_GT	92951eeeef40
50-22	TP5P0877	Malophilia	91f2ac0828a1
50-23	UP5P0802	Hydrology	c89189f25a98
50-24	TP5P0855	Spasmophilia	656d3bf6ab53
50-25	UP5Y0170        Opel_GT b2d5827e1814
50-26	TP5P0505	Zephyros	6e9ddf9a2cd6
50-27	UP4P0226	Methane	bbc656e13d7d
50-28	TP5P0731	Victimology	3a3067612ace
50-29	UP4P0262	Badger	bf15323513ac
50-30	TP5P0537	Mistral	ab0e745eeec8
50-31	UP5Y0218	Volvo_S40	43ae19fb99c5
50-32	TP5P0531	Vardar	942ef6623ac6
50-33	UP5H0206	Altorp	e44a199ef687
50-34	TP4P0219	Mongoose	e3b7f5c95672
50-35	UP4P0348	Leopard	4659ab46dd7a
50-36	TP4P0229	Ocelot	e7c5daacec14
50-37	UP5Y0216	Volkswagen_Beetle	93c6fcb0fe68
50-38	TP4P0315	Warthog	a095b31f89cf
50-39	UP5H0164	Igelboda	d4b07c2b11be
50-40	TP4P0331	Zebu	56c3aab8b518
50-41	UP5P0592	Lalophobia	e916e0cf27e0
50-42	TP5Y0133	Unterden_Linden	aaaabc1deec3
50-43	UP5Y0212	Studebaker_Hawk	b2c4461c8b5f
50-44	TP4P0143	Lite	1e38489a87ff
50-45	UP5P0788	Cardiology	beb37f6943b8
50-46	TP5H0181	Talludden	8b0662f37c34
50-47	UP5P0990	Italophilia	41caa862619b
50-48	TP5Y0223	Darrin_Packard	9662aea5669e
50-49	UP4P0242	Pyradine	137b441e8e46
50-50	TP5H0117	Hjulsta	cb5d0a5f04c9
50-51	UP4P0090	Papaya	e468aa1abdab
50-52	TP5Y0211	Cord_Sportsman	8c7165c1ee37
50-53	UP4P0100	Agnolotti	f1ef76a51884
50-54	TP4P0195	Acetylcholine	3960d2f2f53a
50-55	UP4P0144	Potassium	a2e878d8101f
50-56	TP5H0241	Ekskogen	4f5c0991b4fd
50-57	UP4P0092	Raspberry	c06a75cd9eb1
50-58	TP5H0169	Universitet	88119554cfb5
